date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
05:51:41	891/891	---M--	200	added ('OK')	image/png	etag:%2237b-53b77a877083c%22	http://www.misfitvillage.com/wp-content/uploads/2016/09/cropped-icon-32x32.png	C:/Users/Evan/Documents/Youtube%20-%20The%20Jobless%20Coder/RAW%20Footage%20Dump/The%20Cult%20Called%20Maxwolf%20Event%20Society/SickBrick/www.misfitvillage.com/wp-content/uploads/2016/09/cropped-icon-32x32.png	(from http://www.misfitvillage.com/)
05:51:43	12305/12305	---M--	200	added ('OK')	image/png	etag:%223011-53b77a8747be9%22	http://www.misfitvillage.com/wp-content/uploads/2016/09/cropped-icon-192x192.png	C:/Users/Evan/Documents/Youtube%20-%20The%20Jobless%20Coder/RAW%20Footage%20Dump/The%20Cult%20Called%20Maxwolf%20Event%20Society/SickBrick/www.misfitvillage.com/wp-content/uploads/2016/09/cropped-icon-192x192.png	(from http://www.misfitvillage.com/)
05:51:43	4034/4034	---M--	200	added ('OK')	image/png	etag:%22fc2-53b5abcfdeb62%22	http://www.misfitvillage.com/wp-content/uploads/2016/08/Misfit-Village-Logo.png	C:/Users/Evan/Documents/Youtube%20-%20The%20Jobless%20Coder/RAW%20Footage%20Dump/The%20Cult%20Called%20Maxwolf%20Event%20Society/SickBrick/www.misfitvillage.com/wp-content/uploads/2016/08/Misfit-Village-Logo.png	(from http://www.misfitvillage.com/)
05:51:46	24201/24201	---M--	200	added ('OK')	image/png	etag:%225e89-53b77a8760286%22	http://www.misfitvillage.com/wp-content/uploads/2016/09/cropped-icon-180x180.png	C:/Users/Evan/Documents/Youtube%20-%20The%20Jobless%20Coder/RAW%20Footage%20Dump/The%20Cult%20Called%20Maxwolf%20Event%20Society/SickBrick/www.misfitvillage.com/wp-content/uploads/2016/09/cropped-icon-180x180.png	(from http://www.misfitvillage.com/)
05:51:47	42232/42232	---MC-	200	added ('OK')	text/html	date:Thu,%2016%20Jul%202020%2012:00:03%20GMT	http://www.misfitvillage.com/index.php/home/tainted-fate/	C:/Users/Evan/Documents/Youtube%20-%20The%20Jobless%20Coder/RAW%20Footage%20Dump/The%20Cult%20Called%20Maxwolf%20Event%20Society/SickBrick/www.misfitvillage.com/index.php/home/tainted-fate/index.html	(from http://www.misfitvillage.com/)
05:51:47	37385/37385	---MC-	200	added ('OK')	text/html	date:Thu,%2016%20Jul%202020%2012:00:03%20GMT	http://www.misfitvillage.com/index.php/home/robowave/	C:/Users/Evan/Documents/Youtube%20-%20The%20Jobless%20Coder/RAW%20Footage%20Dump/The%20Cult%20Called%20Maxwolf%20Event%20Society/SickBrick/www.misfitvillage.com/index.php/home/robowave/index.html	(from http://www.misfitvillage.com/)
05:51:53	13743/13743	---M--	200	added ('OK')	image/jpeg	etag:%2235af-566e55f7679cc%22	http://www.misfitvillage.com/wp-content/uploads/2018/03/logoblogBakc-400x250.jpg	C:/Users/Evan/Documents/Youtube%20-%20The%20Jobless%20Coder/RAW%20Footage%20Dump/The%20Cult%20Called%20Maxwolf%20Event%20Society/SickBrick/www.misfitvillage.com/wp-content/uploads/2018/03/logoblogBakc-400x250.jpg	(from http://www.misfitvillage.com/)
05:51:53	85348/85348	---MC-	200	added ('OK')	text/html	date:Thu,%2016%20Jul%202020%2012:00:06%20GMT	http://www.misfitvillage.com/index.php/fellow-developer-stole-steam-game/	C:/Users/Evan/Documents/Youtube%20-%20The%20Jobless%20Coder/RAW%20Footage%20Dump/The%20Cult%20Called%20Maxwolf%20Event%20Society/SickBrick/www.misfitvillage.com/index.php/fellow-developer-stole-steam-game/index.html	(from http://www.misfitvillage.com/)
05:51:55	40680/40680	---MC-	200	added ('OK')	text/html	date:Thu,%2016%20Jul%202020%2012:00:09%20GMT	http://www.misfitvillage.com/index.php/blog/	C:/Users/Evan/Documents/Youtube%20-%20The%20Jobless%20Coder/RAW%20Footage%20Dump/The%20Cult%20Called%20Maxwolf%20Event%20Society/SickBrick/www.misfitvillage.com/index.php/blog/index.html	(from http://www.misfitvillage.com/)
05:51:56	35883/35883	---MC-	200	added ('OK')	text/html	date:Thu,%2016%20Jul%202020%2012:00:13%20GMT	http://www.misfitvillage.com/index.php/contact/	C:/Users/Evan/Documents/Youtube%20-%20The%20Jobless%20Coder/RAW%20Footage%20Dump/The%20Cult%20Called%20Maxwolf%20Event%20Society/SickBrick/www.misfitvillage.com/index.php/contact/index.html	(from http://www.misfitvillage.com/)
